"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"60",61,"E05000061","00ACGR","West Finchley",NA,7848.14589339,2163446.69054,1666,0.000770067507224398
"61",62,"E05000062","00ACGS","West Hendon",NA,10262.7320081,3428659.51761,1831,0.000534027946079161
"62",63,"E05000063","00ACGT","Woodhouse",NA,8890.54517997,2621158.97704,1778,0.000678325891549302
"63",64,"E05000064","00ADGA","Barnehurst",NA,10243.7331084,2870509.67138,581,0.000202403080466846
"64",65,"E05000065","00ADGB","Belvedere",NA,10703.8918026,3170236.2277,130,4.10064079336699e-05
"65",66,"E05000066","00ADGC","Blackfen and Lamorbey",NA,8399.95428883,1684131.69498,1047,0.000621685348668674
"66",67,"E05000067","00ADGD","Blendon and Penhill",NA,7856.50904436,2096855.39686,1163,0.000554640058504953
"67",68,"E05000068","00ADGE","Brampton",NA,7407.0123998,1973697.98799,494,0.000250291586150857
"68",69,"E05000069","00ADGF","Christchurch",NA,8724.76777229,2547675.50962,584,0.000229228564545094
"69",70,"E05000070","00ADGG","Colyers",NA,7103.9404162,1643583.06707,353,0.000214774663398664
"70",71,"E05000071","00ADGH","Crayford",NA,10734.7573384,3967940.80642,207,5.21681169395658e-05
"71",72,"E05000072","00ADGJ","Cray Meadows",NA,14106.6936297,7190289.69368,967,0.000134486931846918
"72",73,"E05000073","00ADGK","Danson Park",NA,8665.3835144,2716319.90857,317,0.000116702012527228
"73",74,"E05000074","00ADGL","East Wickham",NA,6733.84298812,2178926.12546,535,0.000245533794718536
"74",75,"E05000075","00ADGM","Erith",NA,11358.6663433,4756888.03208,489,0.000102798299371137
"75",76,"E05000076","00ADGN","Falconwood and Welling",NA,7740.19287891,1665733.54939,611,0.000366805363451018
"76",77,"E05000077","00ADGP","Lesnes Abbey",NA,8445.23611143,2370374.87132,207,8.73279591776902e-05
"77",78,"E05000078","00ADGQ","Longlands",NA,9136.62167857,2597912.30891,1059,0.000407635006140894
"78",79,"E05000079","00ADGR","North End",NA,11627.8967525,5685537.04271,100,1.7588487991194e-05
"79",80,"E05000080","00ADGS","Northumberland Heath",NA,6892.70908079,1756305.97233,528,0.000300630988173955
"80",81,"E05000081","00ADGT","St Mary's",NA,11161.4978543,4428949.80505,606,0.000136827019196645
